player_id,mlbam_id,player_name,org,position,age,level,prospect_rank,bats,throws,on_40man,eta,height_weight,source,source_url
mlb-top100-62,800522,Josue Briceño,Detroit Tigers,C/1B,21,A,59,L,R,,2027,"6' 4"" / 200 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-64,825582,Nate George,Baltimore Orioles,OF,20,A+,60,R,R,,2028,"6' 0"" / 200 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-48,815814,Billy Carlson,Chicago White Sox,SS,19,A,61,R,R,,2029,"6' 1"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-65,828076,Dax Kilby,New York Yankees,SS,19,A,62,L,R,,2028,"6' 2"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-68,694876,Cooper Ingle,Cleveland Guardians,C,24,MLB,63,L,R,true,2026,"5' 8"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-69,806071,Jonny Farmelo,Seattle Mariners,OF,21,A+,64,L,R,,2028,"6' 1"" / 205 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-70,809707,Charlie Condon,Colorado Rockies,1B/OF,23,AAA,65,R,R,,2026,"6' 5"" / 216 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-72,807291,Caden Scarborough,Texas Rangers,RHP,21,A+,66,R,R,,2027,"6' 5"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-78,800473,Jefferson Rojas,Chicago Cubs,SS,21,AA,67,R,R,,2027,"5' 11"" / 150 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-89,800325,Luis Lara,Milwaukee Brewers,OF,21,AAA,68,S,R,,2026,"5' 7"" / 169 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-73,830402,Kendry Chourio,Kansas City Royals,RHP,18,A+,69,R,R,,2029,"6' 0"" / 160 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-74,829037,Kevin Alvarez,Houston Astros,OF,18,A,70,L,L,,2029,"6' 3"" / 184 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-75,689981,River Ryan,Los Angeles Dodgers,RHP,27,AAA,71,R,R,,2026,"6' 2"" / 195 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-76,821041,Roldy Brito,Colorado Rockies,OF/2B,19,A,72,S,R,,2028,"5' 11"" / 183 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-77,815617,Kayson Cunningham,Arizona Diamondbacks,SS,20,A+,73,L,R,,2029,"5' 10"" / 182 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-80,699393,Pedro Ramírez,Chicago Cubs,3B/2B,22,MLB,74,S,R,true,2026,"5' 9"" / 165 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-96,806958,Felnin Celesten,Seattle Mariners,SS,20,A+,75,S,R,,2028,"6' 1"" / 175 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-84,807083,Nathan Flewelling,Tampa Bay Rays,C,19,A+,76,L,R,,2028,"6' 2"" / 200 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-98,703596,Karson Milbrandt,Miami Marlins,RHP,22,AAA,77,R,R,,2027,"6' 2"" / 230 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-58,695684,Elmer Rodríguez,New York Yankees,RHP,22,AAA,78,L,R,,2026,"6' 4"" / 177 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-99,815824,Josiah Hartshorn,Chicago Cubs,OF/1B,19,A+,79,S,L,,2028,"6' 0"" / 220 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-85,826723,Ronny Cruz,Washington Nationals,INF,19,A+,80,R,R,,2029,"6' 2"" / 170 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-100,807080,Eric Hartman,Atlanta Braves,OF,20,A+,81,L,R,,2029,"6' 1"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-32,804636,Jonah Tong,New York Mets,RHP,23,AAA,82,R,R,,2026,"6' 1"" / 180 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-55,702518,Jett Williams,Milwaukee Brewers,3B/SS/OF,22,AAA,83,R,R,,2026,"5' 7"" / 179 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-87,702610,Ike Irish,Baltimore Orioles,OF/1B,22,A+,84,L,R,,2028,"6' 2"" / 201 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-71,801739,Carlos Lagrange,New York Yankees,RHP,23,AAA,85,R,R,,2026,"6' 7"" / 248 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-90,815843,Josh Hammond,Kansas City Royals,SS/3B,19,A,86,R,R,,2029,"6' 1"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-91,821100,Justin Gonzales,Boston Red Sox,OF,19,A+,87,R,R,,2028,"6' 5"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-92,804560,Charles Davalan,Los Angeles Dodgers,OF,22,A+,88,L,R,,2028,"5' 9"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-93,815832,Xavier Neyens,Houston Astros,3B/SS,19,A,89,L,R,,2029,"6' 3"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-94,695490,Edwin Arroyo,Cincinnati Reds,SS/2B,22,MLB,90,S,R,true,2026,"5' 11"" / 173 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-christian-zazueta,800537,Christian Zazueta,Los Angeles Dodgers,RHP,21,AA,91,R,R,,2028,"6' 3"" / 163 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-95,803849,Devin Fitz-Gerald,Washington Nationals,INF,20,AA,92,S,R,,2028,"5' 10"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-97,814409,Seaver King,Washington Nationals,SS,23,AAA,93,R,R,,2027,"6' 0"" / 195 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-83,694393,Jaxon Wiggins,Chicago Cubs,RHP,24,A+,94,R,R,,2026,"6' 6"" / 225 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-francisco-renteria,836353,Francisco Renteria,Philadelphia Phillies,OF,17,ROK,95,R,R,,2031,"6' 3"" / 216 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-josh-adamczewski,815304,Josh Adamczewski,Milwaukee Brewers,OF,21,AA,96,L,R,,2028,"5' 11"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-james-tibbs-iii,696486,James Tibbs III,Los Angeles Dodgers,1B/OF,23,AAA,97,L,L,,2027,"5' 11"" / 201 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-caden-bodine,805207,Caden Bodine,Tampa Bay Rays,C,22,AA,98,S,R,,2029,"5' 10"" / 200 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-braylon-doughty,815785,Braylon Doughty,Cleveland Guardians,RHP,20,AA,99,R,R,,2028,"6' 0"" / 203 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-logan-henderson,701656,Logan Henderson,Milwaukee Brewers,RHP,24,AAA,100,R,R,,2026,"6' 0"" / 209 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
